  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  3.5500e-13           81.06086767            0.00000000        1848.32127264                  -nan                  -nan 
  3.6000e-13           81.62726072            0.00000000        1861.23596709                  -nan                  -nan 
  3.6500e-13           82.21594329            0.00000000        1874.65889908                  -nan                  -nan 
  3.7000e-13           82.82673286            0.00000000        1888.58590710                  -nan                  -nan 
  3.7500e-13           83.45931027            0.00000000        1903.00971385                  -nan                  -nan 
  3.8000e-13           84.11321706            0.00000000        1917.91986540                  -nan                  -nan 
  3.8500e-13           84.78781035            0.00000000        1933.30170323                  -nan                  -nan 
  3.9000e-13           85.48217664            0.00000000        1949.13439817                  -nan                  -nan 
  3.9500e-13           86.19501797            0.00000000        1965.38835444                  -nan                  -nan 
  4.0000e-13           86.92453509            0.00000000        1982.02254614                  -nan                  -nan 
  4.0500e-13           87.66833770            0.00000000        1998.98247048                  -nan                  -nan 
  4.1000e-13           88.42340776            0.00000000        2016.19931123                  -nan                  -nan 
  4.1500e-13           89.18612896            0.00000000        2033.59061080                  -nan                  -nan 
  4.2000e-13           89.95237821            0.00000000        2051.06235556                  -nan                  -nan 
  4.2500e-13           90.71766009            0.00000000        2068.51204267                  -nan                  -nan 
  4.3000e-13           91.47725861            0.00000000        2085.83213973                  -nan                  -nan 
  4.3500e-13           92.22638261            0.00000000        2102.91340049                  -nan                  -nan 
  4.4000e-13           92.96029019            0.00000000        2119.64770206                  -nan                  -nan 
  4.4500e-13           93.67438850            0.00000000        2135.93031935                  -nan                  -nan 
  4.5000e-13           94.36431427            0.00000000        2151.66176310                  -nan                  -nan 
  4.5500e-13           95.02600622            0.00000000        2166.74942933                  -nan                  -nan 
  4.6000e-13           95.65578087            0.00000000        2181.10932840                  -nan                  -nan 
  4.6500e-13           96.25042055     80467840.79271355        2194.66809242                  -nan                  -nan 
  4.7000e-13           96.80826945            0.00000000        2207.38796602                  -nan                  -nan 
  4.7500e-13           97.32621046            0.00000000        2219.19787390                  -nan                  -nan 
  4.8000e-13           97.80305792            0.00000000        2230.07078115                  -nan                  -nan 
  4.8500e-13           98.23850517            0.00000000        2239.99969554                  -nan                  -nan 
  4.9000e-13           98.63316825            0.00000000        2248.99866378                  -nan                  -nan 
  4.9500e-13           98.98856603     94972998.72779362        2257.10231853                  -nan                  -nan 
  5.0000e-13           99.30766187            0.00000000        2264.37822905                  -nan                  -nan 
  5.0500e-13           99.59277114            0.00000000        2270.87918988                  -nan                  -nan 
  5.1000e-13           99.84726944            0.00000000        2276.68217023                  -nan                  -nan 
  5.1500e-13          100.07468522            0.00000000        2281.86762457                  -nan                  -nan 
  5.2000e-13          100.27844744            0.00000000        2286.51373863                  -nan                  -nan 
  5.2500e-13          100.46167271            0.00000000        2290.69157652                  -nan                  -nan 
  5.3000e-13          100.62701459            0.00000000        2294.46164378                  -nan                  -nan 
  5.3500e-13          100.77658119            0.00000000        2297.87200859                  -nan                  -nan 
  5.4000e-13          100.91191187            0.00000000        2300.95777090                  -nan                  -nan 
  5.4500e-13          101.03399489            0.00000000        2303.74146487                  -nan                  -nan 
  5.5000e-13          101.14330778            0.00000000        2306.23397878                  -nan                  -nan 
  5.5500e-13          101.23986948            0.00000000        2308.43574448                  -nan                  -nan 
  5.6000e-13          101.32330360            0.00000000        2310.33817975                  -nan                  -nan 
  5.6500e-13          101.39291989            0.00000000        2311.92554595                  -nan                  -nan 
  5.7000e-13          101.44782303     53725445.42242643        2313.17742791                  -nan                  -nan 
  5.7500e-13          101.48814275            0.00000000        2314.09678401                  -nan                  -nan 
  5.8000e-13          101.51191970            0.00000000        2314.63893746                  -nan                  -nan 
  5.8500e-13          101.51857558            0.00000000        2314.79070253                  -nan                  -nan 
  5.9000e-13          101.50797665            0.00000000        2314.54902960                  -nan                  -nan 
  5.9500e-13          101.48056058     77381903.00105305        2313.92389799                  -nan                  -nan 
  6.0000e-13          101.43933409            0.00000000        2312.98386605                  -nan                  -nan 
  6.0500e-13          101.38373260            0.00000000        2311.71606065                  -nan                  -nan 
  6.1000e-13          101.31597197            0.00000000        2310.17100659                  -nan                  -nan 
  6.1500e-13          101.23869804            0.00000000        2308.40903375                  -nan                  -nan 
  6.2000e-13          101.15482752            0.00000000        2306.49664772                  -nan                  -nan 
  6.2500e-13          101.06738109     68892508.72990592        2304.50272520                  -nan                  -nan 
  6.3000e-13          100.98235937    169562217.57480586        2302.56409000                  -nan                  -nan 
  6.3500e-13          100.90171504     91051991.64620332        2300.72526642                  -nan                  -nan 
  6.4000e-13          100.83013437    137291796.43553859        2299.09310925                  -nan                  -nan 
  6.4500e-13          100.76933384     76790530.79178074        2297.70675696                  -nan                  -nan 
  6.5000e-13          100.71870633            0.00000000        2296.55236643                  -nan                  -nan 
  6.5500e-13          100.67788021    174120187.50646010        2295.62146378                  -nan                  -nan 
